fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2019-20,127,Department of Health,Internal Services,ISS01,Management and Oversight Services,61762488,48179123.11,60042804,59770926,340,287,340,336,,"The variance in FTE utilization is mainly due to FTEs associated with services provided by the Public Health Agency of Canada as part of the health portfolio Shared Services Partnership model which are not part of the actual FTEs.

The variance between actual and planned spending is mainly due to the reallocation of resources within the department to meet program needs and priorities."
FY 2019-20,127,Department of Health,Internal Services,ISS02,Communications Services,27544920,51268981.6,27504986,26915832,204,282,203,200,,"The variance in FTE utilization is mainly due to FTEs associated with services provided to the Public Health Agency as part of the health portfolio Shared Services Partnership model which are not part of the planned FTEs.

The variance between actual and planned spending is mainly due to additional spending related to Cannabis, Opioids, and Health Canada's response to COVID-19."
FY 2019-20,127,Department of Health,Internal Services,ISS03,Legal Services,0,23931436.86,0,0,0,31,0,0,,"The variance in FTE utilization is due to FTEs associated with supporting legal services which are not part of the planned FTEs.

The variance between actual and planned spending is mainly due to spending associated with supporting legal services which are not part of the planned spending."
FY 2019-20,127,Department of Health,Internal Services,ISS04,Human Resources Management Services,33455932,43914205.35,33594885,33157438,262,467,263,263,,"The variance in FTE utilization is mainly due to FTEs associated with services provided to the Public Health Agency as part of the health portfolio Shared Services Partnership model which are not part of the planned FTEs, as well as the creation of Pay Pilot II to support employee Phoenix issues.

The variance between actual and planned spending is mainly due to the creation of Pay Pilot II to support employee Phoenix issues as well as additional funding received in-year."
FY 2019-20,127,Department of Health,Internal Services,ISS05,Financial Management Services,26261148,26956939.22,26212761,25670611,286,274,287,285,,N/A
FY 2019-20,127,Department of Health,Internal Services,ISS06,Information Management Services,12094048,15581554.66,12133904,12021691,59,121,59,59,,"The variance in FTE utilization is mainly due to FTEs associated with services provided to the Public Health Agency as part of the health portfolio Shared Services Partnership model which are not part of the planned FTEs.

The variance between actual and planned spending is mainly due to an increase in services related to the health portfolio Shared Services Partnership as well as additional funding received in-year to support operations."
FY 2019-20,127,Department of Health,Internal Services,ISS07,Information Technology Services,58002231,68783624.3,58067295,55438168,437,483,438,425,,"The variance in FTE utilization is mainly due to FTEs associated with services provided to the Public Health Agency as part of the health portfolio Shared Services Partnership model which are not part of the planned FTEs.

The variance between actual and planned spending is mainly due to an increase in services related to the health portfolio Shared Services Partnership as well as additional funding received in-year to support operations."
FY 2019-20,127,Department of Health,Internal Services,ISS08,Real Property Management Services,37484134,62219805.78,37081778,35902490,61,175,61,54,,"The variance in FTE utilization is mainly due to FTEs associated with services provided to the Public Health Agency as part of the health portfolio Shared Services Partnership model which are not part of the planned FTEs.

The variance between actual and planned spending is mainly due to an increase in services related to the health portfolio Shared Services Partnership as well as additional funding received in-year to support operations."
FY 2019-20,127,Department of Health,Internal Services,ISS09,Materiel Management Services,1100070,412762.07,1054287,1008823,10,3,10,10,,"The variance in FTE utilization is mainly due to staffing delays.

The variance between actual and planned spending is mainly due to staffing delays as well as internal reallocation of resources within Internal Services."
FY 2019-20,127,Department of Health,Internal Services,ISS0Z,Acquisition Management Services,4772426,4171730.06,4735274,4698366,39,41,38,38,,"The variance in FTE utilization is mainly due to FTEs associated with services provided by the Public Health Agency of Canada as part of the health portfolio Shared Services Partnership model which are not part of the actual FTEs.

The variance between actual and planned spending is mainly due to staffing delays."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM01,Reaching Home,202936157,208223545.2,213199995,237257349,200,157,203,203,"The increase in planned spending is related to the implementation of Reaching Home, focusing efforts on reinforcing a community-based approach that delivers $181 million in grants and contributions, which will reach $215 million by 2021–22, directly to municipalities and local service providers to address and reduce homelessness.","Variance explanation (FTE): The FTE variance can be explained by delays in staffing, Leave with income averaging, Leave without pay, and unexpected departures."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM02,Social Development Partnerships Program,43145840,53829922.57,37488403,36588403,139,120,133,133,The decrease in planned spending is a result of a reduction in temporary resources provided to support projects related to innovation in the service delivery of the Early Learning and Child Care program and to support Canada's implementation of the United Nations Convention of the Rights of Persons with Disabilities.,"Variance explanation (Spending): The variance between planned spending and actual spending reflects realignment of resources across programs. Variance explanation (FTE): The FTE variance captures changes within the program as well as in other areas of social development policy. It may encompass delays in staffing, leave with income averaging, leave without pay, and unexpected departures."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM03,New Horizons for Seniors Program,48711072,77129576.25,48711072,48711072,54,62,54,54,,"Variance explanation (Spending): This variance is due to an additional investment through Budget 2019 of $100 million over five years, with $20 million per year ongoing, for the New Horizons for Seniors Program. Variance explanation (FTE): This variance is due to an additional investment through Budget 2019 of $100 million over five years, with $20 million per year ongoing, for the New Horizons for Seniors Program."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM04,Enabling Accessibility Fund,22529297,21388174.74,22529297,22529297,18,21,18,18,,
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM05,Early Learning and Child Care,410217249,401019035.4,100000,40000,5,5,0,0,"The decrease in planned spending and full-time equivalents is related to the sunsetting of the funding for the Early Learning and Child Care program in 2019–20. Budget 2016 and 2017 proposed a total investment of $7.5 billion over 11 years to continue efforts to create more high-quality, affordable child care spaces across the country. The Department will seek authorities from Treasury Board for future years. Residual payments of $300,000 in 2019–20, $100,000 in 2020–21 and $40,000 in 2021–22 related to the Universal Child Care Benefit, which was replaced by the Canada Child Benefit in 2016, are also included under this item.",
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM06,Canadian Benefit for Parents of Young Victims of Crime,11253229,499479.18,11253229,11253229,11,1,11,11,,"Variance explanation (Spending): The variance of $10.7 M planned for 2019-2020 is due to fewer applications being received than forecasted at the grant's initiation. Changes to the program were made in the Fall 2018 to enhance the grant by expanding eligibility criteria, increasing flexibility, and enhancing financial support for eligible working parents by raising the grant amount. It is expected that, over time, these changes will have a modest but important impact on uptake of the grant. Variance explanation (FTE): The difference between planned and actual FTEs is mainly due to lower than anticipated program workload in 2019-2020."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM07,Indigenous Early Learning Child Care Transformation Initiative,4391703,121444411.5,124313494,124765991,37,26,34,30,"The increase in planned spending from 2019–20 to 2021–22 is a result of an increase in contribution funding for Indigenous Early Learning and Child Care (ELCC) Transformation Initiative in departmental reference levels. In support of the Indigenous ELCC Framework, the Government of Canada committed up to $1.7 billion over 10 years to strengthen early learning and child care programs and services for Indigenous children and families starting in 2018–19. Currently, no contribution funding is included in ESDC's reference levels for 2019–20. The department will draw-down previously approved Indigenous ELCC funds from the Treasury Board Secretariat in 2019–20 once funding allocation decisions have been determined in collaboration with federal departments and Indigenous partners.

The decrease of full-time equivalents from 2019–20 to 2021–22 is a result of the changing nature of work in the Indigenous ELCC Secretariat as transfers to Indigenous partners are completed.",Variance explanation (Spending): Funding for the Indigenous Early Learning and Child Care Transformation Initiative was approved on October 2018. These funds were not included in planned spending as they were held centrally at Treasury Board Secretariat until allocation decisions were made. Variance explanation (FTE): The difference between planned and actual FTE use is mainly due to realignment of FTEs between program activities.
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM08,Sustainable Development Goals Funding Program,7287688,6417565.59,7287688,7287688,19,17,19,19,,"Variance explanation (Spending): The variance in spending is attributed to lower than anticipated spending on outreach, engagement and communications activities. This was caused by a series of developments over the fiscal year, including the federal election writ period, which prevented the Unit from conducting programmed outreach and engagement activities over the summer and early fall 2019, and the COVID-19 pandemic which resulted in the cancellation of travel plans and other outreach activities. Variance explanation (FTE): The variance is due to attrition and staff rotation over last year."
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM09,Accessible Canada Initiative,8963468,7811992.36,11660659,11831526,43,46,48,48,The increase in planned spending and full-time equivalents from 2019–20 to 2021–22 is related to the increase in resources to establish the Accessibility Secretariat in order to implement and administer the Accessible Canada Act and other Accessible Canada initiatives within ESDC.,Variance explanation (Spending): The variance between planned spending and actual spending reflects realignment of resources across programs.
FY 2019-20,128,Department of Employment and Social Development,Social Development,BGM10,Social Innovation and Social Finance Strategy,.,24052578.52,.,.,.,2,.,.,,
FY 2019-20,128,Department of Employment and Social Development,Pensions and Benefits,BGN01,Old Age Security,56376557685,56545113473,59839672188,63435632363,1871,2854,1597,1597,"The increase in planned spending is mainly explained by an increase in the number of Old Age Security and Guaranteed Income Supplement beneficiaries due to an aging population and in an increase in benefits due to indexation.

The decrease in full-time equivalents is a result of a reduction in temporary resources provided to address Old Age Security workload issues.",Variance explanation (FTE): The increase in full-time equivalents mainly reflects additional staff hired to assess and process Old Age Security Benefits; as well as efforts to improve and modernize service delivery systems as part of overall Old Age Security Service Improvement Strategy.
FY 2019-20,128,Department of Employment and Social Development,Pensions and Benefits,BGN02,Canada Disability Savings Program,770371387,511285540.3,870171387,976271387,26,24,26,26,The increase in planned spending is explained by a steady increase in total Registered Canada Disability Savings Plans and participation in the program.,"Variance explanation (Spending): From 2018-19 to 2019-20 the number of registered plans was less than anticipated. As a result, fewer grants and bonds were paid out than planned."
FY 2019-20,128,Department of Employment and Social Development,Pensions and Benefits,BGN03,Canada Pension Plan,22382544,28238499.58,21030849,21030849,2005,2787,1924,1924,The increase in gross planned spending is mainly explained by an increase in Canada Pension Plan benefit payments.,Variance explanation (Spending): The net difference between planned and actual spending is attributable to higher than planned spending on statutory operating costs of employee benefit plan. Variance explanation (FTE): The increase in full-time equivalents mainly reflects additional staff hired to assess and process Canada Pension Plan Benefits; as well as efforts to implement changes related to Canada Pension Plan Triennial Reform.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO01,Employment Insurance,68986604,4836775373,68890237,68671427,6569,8462,6560,6540,The increase in gross planned spending is mainly explained by an increase in Employment Insurance benefits due to expected increase in both regular and special benefits.,"Variance explanation (Spending): The variance between gross planned and actual spending is mainly due to the Canada Emergency Response Benefits for an amount of $6,517M in 2019-20, which is partially offset by a decrease of $706 million in regular benefits payments and a decrease of $229 million in parental benefit payments. Variance explanation (FTE): The increase in full-time equivalents mainly reflects additional staff hired to process Employment Insurance claims as well as to improve call centre accessibility."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO02,Workforce Development Agreements,874812343,956419877,424812343,424812343,24,26,24,24,The decrease in planned spending is related to the sunsetting of $500 million base funding related to the Workforce Development Agreements in 2020–21. The Department will seek authorities from Treasury Board for future years.,
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO03,Labour Market Development Agreements,476043,604461.76,476043,476043,35,46,35,35,,"Variance explanation (Spending): The difference between planned and actual spending reflects realignment of resources across programs. It also reflects increased spending on program support needs related to new initiatives for which no operating funding was received (e.g., additional funding for steel and aluminum and seasonal). Variance explanation (FTE): The variance between Planned and Actual reflects realignment of resources across programs."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO04,Opportunities Fund for Persons with Disabilities,43194640,44790057.26,43152182,44191373,48,42,50,48,,Variance explanation (FTE): The variance between Planned and Actual reflects realignment of resources across programs.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO05,Job Bank,5985067,7375521.48,4885067,4885067,239,233,239,239,The decrease in net planned spending is a result of a reduction in temporary resources provided for the grant Support for Labour Market Information in Canada.,"Variance explanation (Spending): Job Bank received $2.5M during the FY 2019-20, related to enhanced job matching, which was not included in the planned spending."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO06,Youth Employment Strategy,516130849,486146210.2,244664481,244664481,525,500,328,328,"The decrease in planned spending and full-time equivalents is a result of a reduction in temporary resources provided for Canada Summer Jobs, Skills Link and Summer Work Experience.",
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO07,Canada Service Corps,31920397,49663115.45,0,0,18,53,0,0,The decrease in planned spending and full-time equivalents is explained by the sunsetting funding for the Canada Service Corps program in 2019–20. The Department will seek authorities from Treasury Board for future years.,Variance explanation (Spending): The variance is mainly due to incremental funding received in 2019-20 following a Budget 2019 commitment to scale up the Canada Service Corps program by increasing the number of service placements offered to youth. Variance explanation (FTE): The variance is mainly due to an increase in the number of FTEs to help support a Budget 2019 commitment to expand the Canada Service Corps.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO08,Skills and Partnership Fund,57200611,70804696.07,57200611,57200611,74,57,74,74,,"Variance explanation (Spending): Additional funding ($15.3M) was allocated to Skills and Partnership Fund (SPF) projects in 2019-20 due to the large number of proposals received in response to the 2016 Call for Proposals, which delayed the implementation for many of these projects in 2017-18. Variance explanation (FTE): The variance in FTE utilization is resulting from realignment of staffing to match Sub-Program Activity within the Program."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO09,Literacy and Essential Skills,22055650,27342918.72,22055650,22055650,52,47,52,52,,"Variance explanation (Spending): In 2019-20, Literacy and Essential Skills (LES) funds, initially earmarked in grants, were re-allocated to the contributions stream to offset project costs. Subsequently, additional funds were allocated to the program's 2019-20 budget from internal reallocation. Variance explanation (FTE): The variance between Planned and Actual reflects realignment of resources across programs."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO10,Indigenous Skills and Employment Training (ISET) Program,320863783,267806350.5,320641029,322629796,224,180,220,220,,Variance explanation (Spending): The variance is mainly attributable to the fact that existing First Nations and Inuit Child Care Initiative (FNICCI) funding previously presented under Indigenous Skills and Employment Training Program has been reallocated to the Indigenous Early Learning and Child Care Transformation Initiative. Variance explanation (FTE): The variance in FTE utilization is resulting from realignment of staffing to match Sub-Program Activity within the Program.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO11,Student Work Placement Program,3585516,66688071.48,27387,27387,8,10,0,0,"The decrease in planned spending and full-time equivalents is explained by partial funding being approved for the last two years of the four-year program. Full funding was approved by Treasury Board for the first two years, with funding for subsequent years contingent on providing a progress report and evaluation strategy in 2019.  In addition, the program was originally to run from 2016–17 to 2019–20 but has been reset from 2017–18 to 2020–21. The Department will seek authorities from Treasury Board for additional resources for 2019–20 and 2020–21.","Variance explanation (Spending): The variance can be attributed to the incremental funding allotted to the Student Work-Integrated Learning Program through the original Budget 2016 commitment, as well as funding allotted through the Budget 2019 commitment. Variance explanation (FTE): The variance can be attributed to the incremental funding allotted to the Student Work-Integrated Learning Program through the original Budget 2016 commitment, as well as funding allotted through the Budget 2019 commitment."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO12,Union Training and Innovation Program,28016331,27989232.26,28016673,24563834,19,14,19,16,The decrease in planned spending and full-time equivalents is a result of a reduction in temporary resources provided for the Women in construction stream of the program.,Variance explanation (Spending): The variance between planned and actual FTE use reflects normal attrition and delays in external hiring through post-secondary recruitment.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO13,Sectoral Initiatives Program,7091918,8159163.24,7091918,7091918,45,48,45,45,,Variance explanation (Spending): The variance between planned and actual spending is due to additional funding for Labour Market Information (LMI) through the Labour Market Longitudinal Platform (Budget 2018 commitment).
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO14,Temporary Foreign Worker Program,49506403,64509850.45,50897701,45177934,607,702,624,572,,Variance explanation (Spending): The increase in actual spending is mainly due to additional in-year funding approved to support the priority activities of establishing a permanent Global Talent Stream and reducing the inventory of Labour Market Impact Assessment applications resulting from increases in the number of applications received. Neither was included in the 2019-20 Planned Spending. Variance explanation (FTE): The increase in full-time equivalents is mainly due to additional in-year funding approved to support the priority activities of establishing a permanent Global Talent Stream and reducing inventory of Labour Market Impact Assessment applications due to increased volume. Neither was included in the 2019-20 Planned Spending.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO15,Foreign Credential Recognition Program,26658477,23712575.83,26658477,26658477,47,37,47,47,,Variance explanation (Spending): The majority of the variance can be explained by lower than expected contribution expenditures (due to the complexities of developing and implementing Foreign Credential Recognition Program (FCRP) contribution agreements targeting regulatory bodies and provinces/territories) and later than expected development and implementation of projects resulting from the 2019 FCRP Call for Concepts. Variance explanation (FTE): The variance can be explained by later than expected development and implementation of projects resulting from the 2019 FCRP Call for Concepts.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO16,Enabling Fund for Official Language Minority Communities,15732186,15380855.53,15832186,16132186,16,11,16,16,,Variance explanation (FTE): The variance in FTE utilization is resulting from realignment of staffing to match Sub-Program Activities within the Program.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO17,Canada Student Loans Program and Canada Apprentice Loans,2424673295,2724035937,2445074107,2364888261,233,232,233,233,,"Variance explanation (Spending): New program initiatives announced in Budget 2017 have had a greater than anticipated effect on the value of grants disbursed. Budget 2017 expanded eligibility thresholds for Canada Student Grants and provided greater funding for students who support families and adults returning to school. The Alternative Payments to non-participating provinces and territories (Quebec, Northwest Territories and Nunavut) were greater than anticipated for loan year 2019-20 as more grants were issued than previously anticipated."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO18,Canada Education Savings Program,1147833445,1196521691,1186833445,1222833445,103,95,103,103,,
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO19,Skilled Trades and Apprenticeship (Red Seal Program),1145015,731256.62,1149181,1149181,88,57,88,88,The decrease in gross planned spending is mainly a result of a reduction in temporary resources provided for Pan Canadian activies under EI Part II.,"Variance explanation (Spending): There was a decrease in the salary spending due to the funding re-allocations from Red Seal Program to other Employment Insurance Part II program support activities in 2019-20 (part of the Employment Insurance recovery plan). This generated a decrease of the Employee Benefit Plans (EBP). Variance explanation (FTE): The variance between planned and actual FTE use reflects realignment of resources across other EI Part II program support activities. In addition, there was a realignment of IT expenditures and FTEs due to transformation initiatives of other programs and services across the department."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO20,Apprenticeship Grants,119055639,98345445.64,120155639,120155639,72,63,72,72,,Variance explanation (Spending): The majority of the variance between planned and actual spending in 2019-20 is attributable to the low program take up rate. Variance explanation (FTE): The variance between planned and actual FTE utilization 2019-20 is attributable to low program take up rate.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO21,Future Skills,49468174,50025297.52,74602596,74469343,14,29,14,14,"The increase in planned spending is a result of the increase in contributions funding to support a pan-Canadian, independent research centre that will develop, test and evaluate new approaches to skills assesment and development and will share results broadly to help Canadians make informed training decisions, and gain the skills they need to adapt and succeed in the workforce, and influence service providers and government policy and program investments.",Variance explanation (FTE): The variance is attributable to increased reference levels to ramp up program allocation over three years.
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO22,Skilled Trades Awareness and Readiness (STAR) Program,9859138,8901128.49,9759279,9852580,6,2,10,6,,"Variance explanation (FTE): The variance between planned and actual FTE use reflects challenges ramping up for a new program, with delays in internal and external staffing processes."
FY 2019-20,128,Department of Employment and Social Development,"Learning, Skills Development and Employment",BGO23,Supports for Student Learning Program,.,15627450.93,.,.,.,8,.,.,,
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP01,Labour Relations,16439048,18371678.47,16289185,16289185,130,122,129,129,,"Variance explanation (Spending): The variance is linked to the Symposium on Women. The funding for the symposium was received under Workplace Equity and should therefore have been coded to Workplace Equity. However, the expenditures were coded to Labour Relations instead. This would explain the variance between Labour Relations and Workplace Equity."
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP02,Federal Workers' Compensation,48935256,33778651.97,48935256,48935256,62,54,62,62,,Variance explanation (Spending): The variance for Federal Workers’ Compensation reflects expenses and recoveries against the Government Employees Compensation Act statutory fund. The variance between the net planned spending and net actual are attributed to higher recoveries than expected. Variance explanation (FTE): The variance between the planned and actual FTEs is due to a higher turnover during the year and delays in staffing replacements.
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP03,Occupational Health and Safety,29326409,28493288.83,30091173,29699173,233,217,234,234,,"Variance explanation (FTE): The actual hiring was lower than anticipated and vacancies were not filled. The reduction in the actual FTEs is due to delays in staffing processes, and some employees were supposed to be deployed, however, decided to remain in their home organization."
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP04,Workplace Equity,3717981,2072639.64,1979427,1979427,23,16,16,16,The decrease in planned spending and full-time equivalents is a result of a reduction in temporary resources provided to address the administration of the pay transparency measure announced in Budget 2018 to provide online information on the pay practices of federally regulated employers and to host a major symposium on women and the workplace.,"Variance explanation (Spending): The variance is linked to the Symposium on Women. The funding for the symposium was received under Workplace Equity and should therefore have been coded to Workplace Equity however, the expenditures were coded to Labour Relations instead. This would explain the variance between Labour Relations and Workplace Equity. Variance explanation (FTE): The variance is linked to the Symposium on Women. The funding for the symposium was received under Workplace Equity and should therefore have been coded to Workplace Equity however, the expenditures were coded to Labour Relations instead. This would explain the variance between Labour Relations and Workplace Equity."
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP05,Labour Standards,17374804,23240136.56,16863575,16852262,184,222,183,183,,Variance explanation (Spending): The increase in actual spending is due to additional resources required for the modernization of the Federal Labour Standards. The program received additional funding in 2019 that was not reflected in the planned spending for 2019-20. Variance explanation (FTE): The increase in actual FTEs is due to additional resources required for the modernization of the Federal Labour Standards. The program received additional funding (that was not reflected in the planned FTEs for 2019-20).
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP06,Wage Earner Protection Program,51330885,56862921.93,51330885,51330885,25,30,25,25,,"Variance explanation (Spending): The variance between WEPP actual and planned spending of 10% is attributable to amounts that were paid in the first quarter of 2019-2020 that could not be paid in 2018-2019 due to a backlog in processing at the end of March 2019. This backlog arose due to the Sears Canada receivership, the largest ever insolvency covered by the Program. In addition, the backlog caused delays to supplementary payments to workers that resulted from the increase to the WEPP maximum amount, and were retroactive to February 27, 2018, but did not come into force until December 13, 2018. This required many applications to be reconsidered, and due to the backlog these reconsiderations were not completed until the beginning of 2019-2020. Variance explanation (FTE): The increase in actual FTEs is due to the hiring of additional resources to improve the Wage Earner Protection Program. The department received additional funding (that was not reflected in the planned FTEs for 2019-20)."
FY 2019-20,128,Department of Employment and Social Development,Working Conditions and Workplace Relations,BGP07,International Labour Affairs,5884986,6353584.5,5884986,5884986,34,29,34,34,,Variance explanation (FTE): The variance between the planned and actual FTEs is due to a higher turnover during the year and delays in staffing replacements because of COVID-19.
FY 2019-20,128,Department of Employment and Social Development,Information Delivery and Services for Other Departments,BGQ01,Government of Canada Telephone General Enquiries Services,15190435,21371300.07,15190435,15190435,59,61,59,59,,Variance explanation (Spending): The difference is mainly due to IT costs related to the new business model project that were not part of the planned spending.
FY 2019-20,128,Department of Employment and Social Development,Information Delivery and Services for Other Departments,BGQ02,Government of Canada Internet Presence,10990236,19486981.76,10990236,10990236,82,84,82,82,,Variance explanation (Spending): The difference is mainly due to the increased usage of Canada.ca by the public and by Government of Canada departments which was the driver for the increased costs and associated spending for critical Principal Publisher services to ensure the availability of Canada.ca and related critical services.
FY 2019-20,128,Department of Employment and Social Development,Information Delivery and Services for Other Departments,BGQ03,In-Person Points of Service,25536387,23794807.91,25250669,22172159,244,229,244,220,The decrease in planned spending and full-time equivalents is a result of a reduction in temporary resources provided for enhanced Indigenous community outreach activities to increase access to federal benefits.,
FY 2019-20,128,Department of Employment and Social Development,Information Delivery and Services for Other Departments,BGQ04,Passport,147200582,140123892.1,146860194,146860194,1887,1490,1887,1887,,Variance explanation (FTE): The difference is mainly due to the decrease in volume.
FY 2019-20,128,Department of Employment and Social Development,Information Delivery and Services for Other Departments,BGQ05,Other Government Department Programs,26156466,23663430.25,26224891,26516814,235,222,236,239,,Variance explanation (Spending): The difference is mainly due to lower than anticipated costs to deliver some of the service delivery partnerships.
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS01,Management and Oversight Services,76618780,91371856.42,75231382,78305664,1239,1106,1238,1238,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services. Variance explanation (FTE): The variance between planned and actual FTE use reflects realignment of resources across support activities."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS02,Communications Services,13410043,16058299.07,9833703,9803702,221,284,220,220,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services. Variance explanation (FTE): The variance between planned and actual FTE use reflects realignment of resources across support activities."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS03,Legal Services,7641646,5866492.51,7631143,7631142,62,59,62,62,,
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS04,Human Resources Management Services,44541563,54109367.98,43547931,43331812,882,1051,860,858,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services. Variance explanation (FTE): The variance between planned and actual FTE use reflects realignment of resources across support activities."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS05,Financial Management Services,31086427,37495231.75,30177465,29918828,738,696,718,716,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS06,Information Management Services,2566869,2998687.52,2557775,2557775,54,56,54,54,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS07,Information Technology Services,55651111,104987447.2,54243359,54015902,972,1269,958,955,,Variance explanation (Spending): The variance reflects a realignment of IT expenditures and FTEs due to transformation initiatives of other programs and services across the department. Variance explanation (FTE): The variance reflects a realignment of IT expenditures and FTEs due to transformation initiatives of other programs and services across the department.
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS08,Real Property Management Services,50547989,60287108.61,48122225,47102108,214,256,214,214,,"Variance explanation (Spending): The variance is due to increased in-year funding, not included in planned spending, for both new and existing programs leading to higher actual spending for supporting services. Variance explanation (FTE): The variance between planned and actual FTE use reflects realignment of resources across support activities."
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS09,Materiel Management Services,1205484,1120531.33,1204375,1207518,21,31,21,21,,
FY 2019-20,128,Department of Employment and Social Development,Internal Services,ISS0Z,Acquisition Management Services,2232714,2044457.09,2224460,2224412,59,47,59,59,,
FY 2019-20,129,Department of Indian Affairs and Northern Development,Rights and Self-Determination,BWM01,"Statutory, Legislative and Policy Support to First Nations Governance",3678294,431158.72,3678294,3678294,26,5,26,26,,"•	Reflects the programs that were transferred from the new department to the Department of Indigenous Services as per Order in Council P.C. 2019-1109
•	2019–20 deemed appropriations to ISC  (-$2.7M)"
FY 2019-20,129,Department of Indian Affairs and Northern Development,Rights and Self-Determination,BWM02,Negotiations of Claims and Self-Government Agreements,194562797,1089295480,123881854,123872009,284,297,236,236,,"•	Funding for loan forgiveness for comprehensive land claim negotiation loans (+$919.0M)
•	Less deferral of funds for Recognition of Indigenous Rights and Self-Determination Table (Negotiation Support Funding) ( $3.0 M)
•	Less internal reallocation of resources to other programs (-$15.9M)
•	The program had a number of delays in staffing vacancies which contributed to the variance between the planned and actual FTEs."
FY 2019-20,129,Department of Indian Affairs and Northern Development,Rights and Self-Determination,BWM03,Specific Claims,705942226,825721499.8,61030194,61030194,99,108,99,99,,"•	Funding for advancing reconciliation by settling specific claims (+$883M)
•	Specific Claims Settlement Fund (+$8M)
•	Less reprofiling request 
(-$760M)
•	Less internal reallocation of resources (-$12M)
•	The normal fluctuations due to staff movement during the year (both attrition and hiring to fill vacancies as needed) has contributed to the variance between the planned and actual FTEs."
